,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,48.09,77,65,11.01,AR,1655194151
1,vaini,-21.2,-175.2,71.76,94,20,3.44,TO,1655194377
2,praia da vitoria,38.7333,-27.0667,60.76,86,100,3.29,PT,1655194378
3,atuona,-9.8,-139.0333,76.62,79,57,19.55,PF,1655194379
4,hithadhoo,-0.6,73.0833,83.75,69,62,6.55,MV,1655194381
5,punta arenas,-53.15,-70.9167,33.91,93,0,8.05,CL,1655194382
6,grand forks,47.9417,-97.4337,71.33,94,75,14.97,US,1655194088
7,qalyub,30.1792,31.2056,84.99,42,0,7.78,EG,1655194385
8,kapaa,22.0752,-159.319,75.18,86,20,16.11,US,1655194387
9,maumere,-8.6199,122.2111,82.96,68,61,6.33,ID,1655194388
10,khatanga,71.9667,102.5,59.32,43,0,12.62,RU,1655194389
11,vardo,70.3705,31.1107,46.38,71,75,11.5,NO,1655194390
12,port elizabeth,-33.918,25.5701,67.1,85,63,4.0,ZA,1655194392
13,mazagao,-0.115,-51.2894,77.05,98,24,2.55,BR,1655194393
14,santa maria,-29.6842,-53.8069,45.84,95,0,4.92,BR,1655194394
15,pangnirtung,66.1451,-65.7125,24.87,87,52,5.75,CA,1655194396
16,tasiilaq,65.6145,-37.6368,39.36,97,100,21.97,GL,1655194397
17,arys,42.4252,68.795,97.14,16,56,6.78,KZ,1655194399
18,torbay,47.6666,-52.7314,41.29,93,100,1.99,CA,1655194169
19,hovd,48.0056,91.6419,90.9,13,99,2.06,MN,1655194401
20,lulea,65.5842,22.1547,66.27,55,0,6.91,SE,1655194403
21,sergeyevka,53.88,67.4158,57.61,79,100,12.33,KZ,1655194404
22,matagami,49.7502,-77.6328,50.27,97,2,4.12,CA,1655194406
23,new norfolk,-42.7826,147.0587,46.89,81,99,1.14,AU,1655194410
24,sechura,-5.5569,-80.8222,62.51,81,12,9.55,PE,1655194411
25,saint-pierre,-21.3393,55.4781,80.28,47,18,8.05,RE,1655194413
26,dikson,73.5069,80.5464,33.66,83,67,11.05,RU,1655194414
27,albany,42.6001,-73.9662,57.31,87,45,4.5,US,1655194305
28,cape town,-33.9258,18.4232,54.1,91,100,4.0,ZA,1655194287
29,rikitea,-23.1203,-134.9692,73.17,64,100,7.99,PF,1655194417
30,kipini,-2.5257,40.5262,84.49,71,1,17.38,KE,1655194418
31,hobart,-42.8794,147.3294,47.23,80,0,1.14,AU,1655194207
32,vila franca do campo,37.7167,-25.4333,64.2,82,99,6.76,PT,1655194420
33,tuktoyaktuk,69.4541,-133.0374,33.06,87,15,8.34,CA,1655194422
34,upernavik,72.7868,-56.1549,27.48,90,91,8.25,GL,1655194423
35,garowe,8.4054,48.4845,89.74,36,100,26.57,SO,1655194424
36,zhanakorgan,43.9098,67.2495,97.32,12,47,8.68,KZ,1655194425
37,kruisfontein,-34.0033,24.7314,64.89,36,100,17.02,ZA,1655194426
38,jamestown,42.097,-79.2353,63.01,55,100,7.0,US,1655194427
39,porto belo,-27.1578,-48.5531,57.25,85,97,5.17,BR,1655194429
40,husavik,66.0449,-17.3389,53.78,74,97,12.39,IS,1655194430
41,carnarvon,-24.8667,113.6333,68.83,56,91,11.18,AU,1655194431
42,avera,33.194,-82.5271,78.85,71,0,5.73,US,1655194432
43,tual,-5.6667,132.75,82.4,78,100,18.28,ID,1655194434
44,ushuaia,-54.8,-68.3,40.66,75,20,13.8,AR,1655194289
45,concarneau,47.875,-3.9225,64.69,64,61,8.88,FR,1655194436
46,mataura,-46.1927,168.8643,40.48,85,100,13.31,NZ,1655194437
47,tahta,26.7693,31.5021,92.21,22,0,12.19,EG,1655194439
48,vallenar,-28.5708,-70.7581,48.25,88,100,1.48,CL,1655194440
49,clyde river,70.4692,-68.5914,29.93,91,32,1.5,CA,1655194441
50,komsomolskiy,40.4272,71.7189,88.52,22,0,2.3,UZ,1655194443
51,kalaleh,37.3807,55.4916,94.57,30,6,9.28,IR,1655194444
52,champerico,14.3,-91.9167,75.42,90,100,5.06,GT,1655194445
53,east london,-33.0153,27.9116,74.41,40,100,4.34,ZA,1655194448
54,mpika,-11.8343,31.4529,68.4,42,4,5.91,ZM,1655194449
55,busselton,-33.65,115.3333,63.79,62,11,11.65,AU,1655194450
56,nishihara,26.1842,127.7558,86.05,84,75,16.11,JP,1655194451
57,gigmoto,13.7796,124.39,86.18,70,6,8.7,PH,1655194453
58,vanimo,-2.6741,141.3028,82.36,77,57,10.54,PG,1655194454
59,bluff,-46.6,168.3333,40.8,66,100,37.0,NZ,1655194455
60,vao,-22.6667,167.4833,71.73,75,100,17.18,NC,1655194456
61,georgetown,5.4112,100.3354,87.73,70,20,6.91,MY,1655194457
62,barrow,71.2906,-156.7887,33.82,80,0,18.41,US,1655194459
63,port-cartier,50.0334,-66.8654,52.02,90,100,13.56,CA,1655194460
64,huarmey,-10.0681,-78.1522,62.01,85,65,9.15,PE,1655194462
65,baruun-urt,46.6806,113.2792,74.59,25,99,8.68,MN,1655194463
66,cacu,-18.5567,-51.1308,53.13,46,93,3.11,BR,1655194464
67,victoria,22.2855,114.1577,79.97,91,100,5.99,HK,1655194297
68,hervey bay,-25.2986,152.8535,67.84,68,69,9.48,AU,1655194466
69,nikolskoye,59.7035,30.7861,67.87,52,100,2.28,RU,1655194469
70,pevek,69.7008,170.3133,39.22,70,1,4.68,RU,1655194337
71,mount gambier,-37.8333,140.7667,55.26,55,100,14.29,AU,1655194471
72,olafsvik,64.8945,-23.7142,47.05,74,96,12.46,IS,1655194473
73,bredasdorp,-34.5322,20.0403,54.73,78,100,11.39,ZA,1655194474
74,provideniya,64.3833,-173.3,35.65,92,98,6.33,RU,1655194338
75,namibe,-15.1961,12.1522,70.7,49,4,7.81,AO,1655194476
76,codrington,-38.2667,141.9667,52.81,63,99,16.35,AU,1655194477
77,hay river,60.8156,-115.7999,53.69,36,85,4.41,CA,1655194478
78,robertsport,6.7533,-11.3686,80.08,68,94,8.32,LR,1655194480
79,puerto ayora,-0.7393,-90.3518,70.56,95,29,1.99,EC,1655194214
80,bonthe,7.5264,-12.505,78.85,78,100,8.43,SL,1655194482
81,paamiut,61.994,-49.6678,36.77,66,1,29.57,GL,1655194484
82,yumen,40.2833,97.2,95.45,3,0,24.94,CN,1655194485
83,katsuura,35.1333,140.3,64.47,85,100,11.03,JP,1655194486
84,butaritari,3.0707,172.7902,81.99,73,25,13.91,KI,1655194487
85,padang,-0.9492,100.3543,84.25,67,94,4.21,ID,1655194488
86,hobyo,5.3505,48.5268,87.31,53,5,23.17,SO,1655194490
87,narsaq,60.9167,-46.05,41.22,57,61,0.45,GL,1655194491
88,mahebourg,-20.4081,57.7,79.09,50,40,18.41,MU,1655194492
89,atherton,53.5237,-2.4935,60.06,71,98,1.01,GB,1655194317
90,qaanaaq,77.484,-69.3632,24.42,79,99,5.17,GL,1655194495
91,hermanus,-34.4187,19.2345,54.81,79,100,15.14,ZA,1655194496
92,gat,31.61,34.7642,84.78,38,0,7.4,IL,1655194442
93,muisne,0.6,-80.0333,74.95,88,100,7.11,EC,1655194498
94,diapaga,12.0708,1.7889,83.01,54,100,6.67,BF,1655194499
95,saint george,37.1041,-113.5841,72.19,26,0,13.8,US,1655194330
96,salinopolis,-0.6136,-47.3561,79.99,77,94,9.08,BR,1655194251
97,ayabaca,-4.6398,-79.7149,42.39,86,79,5.7,PE,1655194503
98,marzuq,14.4,46.4667,96.62,11,48,10.63,YE,1655194504
99,castro,-24.7911,-50.0119,39.31,99,21,3.91,BR,1655194507
100,micheweni,-4.9667,39.8333,78.87,75,4,13.31,TZ,1655194509
101,jiangyou,31.7667,104.7167,89.62,37,100,4.68,CN,1655194510
102,mazamari,-11.3258,-74.5308,60.19,91,29,2.13,PE,1655194512
103,saquarema,-22.92,-42.5103,65.97,81,100,8.32,BR,1655194513
104,la ronge,55.1001,-105.2842,61.02,77,75,10.36,CA,1655194514
105,lanzhou,36.0564,103.7922,87.75,9,0,2.62,CN,1655194516
106,chuy,-33.6971,-53.4616,49.19,94,35,5.32,UY,1655194517
107,youkounkoun,12.5333,-13.1333,76.96,84,60,4.85,GN,1655194519
108,port-gentil,-0.7193,8.7815,80.56,78,40,12.66,GA,1655194520
109,ust-koksa,50.2696,85.6108,67.69,63,100,6.73,RU,1655194521
110,buluang,13.3068,123.3425,86.09,75,84,4.38,PH,1655194523
111,daru,-9.0763,143.2092,78.48,90,34,15.08,PG,1655194524
112,tiksi,71.6872,128.8694,50.77,54,50,2.55,RU,1655194526
113,poso,-1.3959,120.7524,82.96,76,100,1.05,ID,1655194528
114,isla mujeres,21.2311,-86.731,80.65,85,99,13.73,MX,1655194529
115,cabedelo,-6.9811,-34.8339,70.47,66,100,10.92,BR,1655194530
116,tevaitoa,-16.7833,-151.5,79.84,68,29,20.98,PF,1655194531
117,santiago del estero,-27.7951,-64.2615,51.66,40,0,11.27,AR,1655194534
118,lebu,-37.6167,-73.65,49.98,93,100,14.43,CL,1655194535
119,cherskiy,68.75,161.3,67.93,22,13,7.7,RU,1655194536
